"cell","celltype","group","site","aneuploid"
"Cell2638","macrophage","macrophage","ascites",FALSE
"Cell2639","macrophage","macrophage","ascites",FALSE
"Cell2640","macrophage","macrophage","ascites",FALSE
"Cell2641","macrophage","macrophage","omental",FALSE
"Cell2642","malignant","malignant_omental","omental",TRUE
"Cell2643","malignant","malignant_omental","omental",TRUE
"Cell2644","fibroblast","fibroblast","omental",FALSE
"Cell2645","malignant","malignant_ascites","ascites",TRUE
"Cell2646","malignant","malignant_ascites","ascites",TRUE
"Cell2647","fibroblast","fibroblast","omental",FALSE
"Cell2648","fibroblast","fibroblast","ascites",FALSE
"Cell2649","endothelial","endothelial","omental",FALSE
"Cell2650","malignant","malignant_ascites","ascites",TRUE
"Cell2651","Tcell","Tcell","omental",FALSE
"Cell2652","Tcell","Tcell","ascites",FALSE
"Cell2653","malignant","malignant_omental","omental",TRUE
"Cell2654","malignant","malignant_omental","omental",TRUE
"Cell2655","malignant","malignant_ascites","ascites",TRUE
"Cell2656","malignant","malignant_omental","omental",TRUE
"Cell2657","macrophage","macrophage","omental",FALSE
"Cell2658","malignant","malignant_omental","omental",TRUE
"Cell2659","fibroblast","fibroblast","omental",FALSE
"Cell2660","Tcell","Tcell","omental",FALSE
"Cell2661","endothelial","endothelial","ascites",FALSE
"Cell2662","fibroblast","fibroblast","omental",FALSE
"Cell2663","malignant","malignant_omental","omental",TRUE
"Cell2664","endothelial","endothelial","omental",FALSE
"Cell2665","malignant","malignant_ascites","ascites",TRUE
"Cell2666","Tcell","Tcell","omental",FALSE
"Cell2667","fibroblast","fibroblast","ascites",FALSE
"Cell2668","malignant","malignant_ascites","ascites",TRUE
"Cell2669","fibroblast","fibroblast","omental",FALSE
"Cell2670","fibroblast","fibroblast","omental",FALSE
"Cell2671","macrophage","macrophage","omental",FALSE
"Cell2672","Tcell","Tcell","ascites",FALSE
"Cell2673","macrophage","macrophage","omental",FALSE
"Cell2674","Tcell","Tcell","ascites",FALSE
"Cell2675","fibroblast","fibroblast","ascites",FALSE
"Cell2676","malignant","malignant_ascites","ascites",TRUE
"Cell2677","malignant","malignant_omental","omental",TRUE
"Cell2678","malignant","malignant_ascites","ascites",TRUE
"Cell2679","malignant","malignant_omental","omental",TRUE
"Cell2680","macrophage","macrophage","omental",FALSE
"Cell2681","macrophage","macrophage","ascites",FALSE
"Cell2682","Tcell","Tcell","omental",FALSE
"Cell2683","malignant","malignant_omental","omental",TRUE
"Cell2684","malignant","malignant_omental","omental",TRUE
"Cell2685","adipocyte","adipocyte","omental",FALSE
"Cell2686","malignant","malignant_ascites","ascites",TRUE
"Cell2687","macrophage","macrophage","omental",FALSE
"Cell2688","malignant","malignant_omental","omental",TRUE
"Cell2689","malignant","malignant_ascites","ascites",TRUE
"Cell2690","Tcell","Tcell","omental",FALSE
"Cell2691","macrophage","macrophage","ascites",FALSE
"Cell2692","malignant","malignant_ascites","ascites",TRUE
"Cell2693","endothelial","endothelial","ascites",FALSE
"Cell2694","malignant","malignant_ascites","ascites",TRUE
"Cell2695","fibroblast","fibroblast","ascites",FALSE
"Cell2696","fibroblast","fibroblast","omental",FALSE
"Cell2697","fibroblast","fibroblast","omental",FALSE
"Cell2698","malignant","malignant_ascites","ascites",TRUE
"Cell2699","malignant","malignant_omental","omental",TRUE
"Cell2700","macrophage","macrophage","omental",FALSE
"Cell2701","malignant","malignant_ascites","ascites",TRUE
"Cell2702","malignant","malignant_omental","omental",TRUE
"Cell2703","malignant","malignant_ascites","ascites",TRUE
"Cell2704","macrophage","macrophage","omental",FALSE
"Cell2705","malignant","malignant_omental","omental",TRUE
"Cell2706","malignant","malignant_omental","omental",TRUE
"Cell2707","fibroblast","fibroblast","ascites",FALSE
"Cell2708","malignant","malignant_ascites","ascites",TRUE
"Cell2709","fibroblast","fibroblast","ascites",FALSE
"Cell2710","macrophage","macrophage","omental",FALSE
"Cell2711","malignant","malignant_ascites","ascites",TRUE
"Cell2712","macrophage","macrophage","ascites",FALSE
"Cell2713","malignant","malignant_omental","omental",TRUE
"Cell2714","malignant","malignant_ascites","ascites",TRUE
"Cell2715","fibroblast","fibroblast","omental",FALSE
"Cell2716","malignant","malignant_omental","omental",TRUE
"Cell2717","malignant","malignant_omental","omental",TRUE
"Cell2718","malignant","malignant_omental","omental",TRUE
"Cell2719","malignant","malignant_ascites","ascites",TRUE
"Cell2720","endothelial","endothelial","omental",FALSE
"Cell2721","Tcell","Tcell","omental",FALSE
"Cell2722","adipocyte","adipocyte","omental",FALSE
"Cell2723","fibroblast","fibroblast","omental",FALSE
"Cell2724","macrophage","macrophage","omental",FALSE
"Cell2725","Tcell","Tcell","omental",FALSE
"Cell2726","fibroblast","fibroblast","omental",FALSE
"Cell2727","fibroblast","fibroblast","omental",FALSE
"Cell2728","malignant","malignant_omental","omental",TRUE
"Cell2729","macrophage","macrophage","ascites",FALSE
"Cell2730","malignant","malignant_omental","omental",TRUE
"Cell2731","fibroblast","fibroblast","omental",FALSE
"Cell2732","fibroblast","fibroblast","omental",FALSE
"Cell2733","malignant","malignant_ascites","ascites",TRUE
"Cell2734","adipocyte","adipocyte","omental",FALSE
"Cell2735","malignant","malignant_ascites","ascites",TRUE
"Cell2736","fibroblast","fibroblast","omental",FALSE
"Cell2737","malignant","malignant_ascites","ascites",TRUE
"Cell2738","malignant","malignant_ascites","ascites",TRUE
"Cell2739","malignant","malignant_ascites","ascites",TRUE
"Cell2740","malignant","malignant_omental","omental",TRUE
"Cell2741","malignant","malignant_omental","omental",TRUE
"Cell2742","malignant","malignant_ascites","ascites",TRUE
"Cell2743","malignant","malignant_omental","omental",TRUE
"Cell2744","endothelial","endothelial","ascites",FALSE
"Cell2745","macrophage","macrophage","ascites",FALSE
"Cell2746","malignant","malignant_ascites","ascites",TRUE
"Cell2747","malignant","malignant_omental","omental",TRUE
"Cell2748","malignant","malignant_ascites","ascites",TRUE
"Cell2749","fibroblast","fibroblast","omental",FALSE
"Cell2750","endothelial","endothelial","omental",FALSE
"Cell2751","macrophage","macrophage","omental",FALSE
"Cell2752","macrophage","macrophage","ascites",FALSE
"Cell2753","endothelial","endothelial","omental",FALSE
"Cell2754","malignant","malignant_ascites","ascites",TRUE
"Cell2755","malignant","malignant_ascites","ascites",TRUE
"Cell2756","malignant","malignant_omental","omental",TRUE
"Cell2757","malignant","malignant_ascites","ascites",TRUE
"Cell2758","fibroblast","fibroblast","omental",FALSE
"Cell2759","fibroblast","fibroblast","omental",FALSE
"Cell2760","endothelial","endothelial","omental",FALSE
"Cell2761","adipocyte","adipocyte","omental",FALSE
"Cell2762","malignant","malignant_omental","omental",TRUE
"Cell2763","Tcell","Tcell","ascites",FALSE
"Cell2764","malignant","malignant_omental","omental",TRUE
"Cell2765","macrophage","macrophage","ascites",FALSE
"Cell2766","fibroblast","fibroblast","omental",FALSE
"Cell2767","adipocyte","adipocyte","omental",FALSE
"Cell2768","Tcell","Tcell","omental",FALSE
"Cell2769","malignant","malignant_ascites","ascites",TRUE
"Cell2770","malignant","malignant_omental","omental",TRUE
"Cell2771","fibroblast","fibroblast","omental",FALSE
"Cell2772","macrophage","macrophage","ascites",FALSE
"Cell2773","endothelial","endothelial","ascites",FALSE
"Cell2774","malignant","malignant_ascites","ascites",TRUE
"Cell2775","malignant","malignant_omental","omental",TRUE
"Cell2776","fibroblast","fibroblast","ascites",FALSE
"Cell2777","Tcell","Tcell","omental",FALSE
"Cell2778","fibroblast","fibroblast","ascites",FALSE
"Cell2779","malignant","malignant_omental","omental",TRUE
"Cell2780","malignant","malignant_ascites","ascites",TRUE
"Cell2781","fibroblast","fibroblast","omental",FALSE
"Cell2782","malignant","malignant_ascites","ascites",TRUE
"Cell2783","adipocyte","adipocyte","omental",FALSE
"Cell2784","malignant","malignant_ascites","ascites",TRUE
"Cell2785","endothelial","endothelial","omental",FALSE
"Cell2786","malignant","malignant_ascites","ascites",TRUE
"Cell2787","malignant","malignant_omental","omental",TRUE
"Cell2788","malignant","malignant_ascites","ascites",TRUE
"Cell2789","macrophage","macrophage","omental",FALSE
"Cell2790","malignant","malignant_ascites","ascites",TRUE
"Cell2791","endothelial","endothelial","omental",FALSE
"Cell2792","adipocyte","adipocyte","omental",FALSE
"Cell2793","adipocyte","adipocyte","omental",FALSE
"Cell2794","endothelial","endothelial","ascites",FALSE
"Cell2795","fibroblast","fibroblast","ascites",FALSE
"Cell2796","malignant","malignant_omental","omental",TRUE
"Cell2797","malignant","malignant_omental","omental",TRUE
"Cell2798","fibroblast","fibroblast","ascites",FALSE
"Cell2799","malignant","malignant_omental","omental",TRUE
"Cell2800","malignant","malignant_omental","omental",TRUE
"Cell2801","fibroblast","fibroblast","omental",FALSE
"Cell2802","fibroblast","fibroblast","ascites",FALSE
"Cell2803","Tcell","Tcell","omental",FALSE
"Cell2804","Tcell","Tcell","omental",FALSE
"Cell2805","fibroblast","fibroblast","omental",FALSE
"Cell2806","fibroblast","fibroblast","omental",FALSE
"Cell2807","malignant","malignant_ascites","ascites",TRUE
"Cell2808","malignant","malignant_ascites","ascites",TRUE
"Cell2809","macrophage","macrophage","omental",FALSE
"Cell2810","endothelial","endothelial","omental",FALSE
"Cell2811","malignant","malignant_ascites","ascites",TRUE
"Cell2812","malignant","malignant_omental","omental",TRUE
"Cell2813","malignant","malignant_ascites","ascites",TRUE
"Cell2814","fibroblast","fibroblast","ascites",FALSE
"Cell2815","malignant","malignant_ascites","ascites",TRUE
"Cell2816","malignant","malignant_ascites","ascites",TRUE
"Cell2817","Tcell","Tcell","omental",FALSE
"Cell2818","malignant","malignant_omental","omental",TRUE
"Cell2819","fibroblast","fibroblast","ascites",FALSE
"Cell2820","fibroblast","fibroblast","ascites",FALSE
"Cell2821","malignant","malignant_ascites","ascites",TRUE
"Cell2822","endothelial","endothelial","ascites",FALSE
"Cell2823","macrophage","macrophage","omental",FALSE
"Cell2824","malignant","malignant_omental","omental",TRUE
"Cell2825","adipocyte","adipocyte","omental",FALSE
"Cell2826","fibroblast","fibroblast","omental",FALSE
"Cell2827","fibroblast","fibroblast","omental",FALSE
"Cell2828","fibroblast","fibroblast","omental",FALSE
"Cell2829","malignant","malignant_ascites","ascites",TRUE
"Cell2830","malignant","malignant_ascites","ascites",TRUE
"Cell2831","macrophage","macrophage","ascites",FALSE
"Cell2832","adipocyte","adipocyte","omental",FALSE
"Cell2833","Tcell","Tcell","omental",FALSE
"Cell2834","malignant","malignant_omental","omental",TRUE
"Cell2835","malignant","malignant_ascites","ascites",TRUE
"Cell2836","malignant","malignant_ascites","ascites",TRUE
"Cell2837","adipocyte","adipocyte","omental",FALSE
"Cell2838","malignant","malignant_omental","omental",TRUE
"Cell2839","endothelial","endothelial","omental",FALSE
"Cell2840","malignant","malignant_omental","omental",TRUE
"Cell2841","fibroblast","fibroblast","ascites",FALSE
"Cell2842","malignant","malignant_omental","omental",TRUE
"Cell2843","malignant","malignant_ascites","ascites",TRUE
"Cell2844","malignant","malignant_omental","omental",TRUE
"Cell2845","Tcell","Tcell","ascites",FALSE
"Cell2846","malignant","malignant_omental","omental",TRUE
"Cell2847","malignant","malignant_ascites","ascites",TRUE
"Cell2848","malignant","malignant_omental","omental",TRUE
"Cell2849","fibroblast","fibroblast","omental",FALSE
"Cell2850","malignant","malignant_ascites","ascites",TRUE
"Cell2851","malignant","malignant_ascites","ascites",TRUE
"Cell2852","malignant","malignant_omental","omental",TRUE
"Cell2853","malignant","malignant_ascites","ascites",TRUE
"Cell2854","malignant","malignant_omental","omental",TRUE
"Cell2855","Tcell","Tcell","ascites",FALSE
"Cell2856","malignant","malignant_omental","omental",TRUE
"Cell2857","malignant","malignant_ascites","ascites",TRUE
"Cell2858","malignant","malignant_omental","omental",TRUE
"Cell2859","malignant","malignant_ascites","ascites",TRUE
"Cell2860","fibroblast","fibroblast","ascites",FALSE
"Cell2861","fibroblast","fibroblast","ascites",FALSE
"Cell2862","fibroblast","fibroblast","omental",FALSE
"Cell2863","Tcell","Tcell","ascites",FALSE
"Cell2864","macrophage","macrophage","omental",FALSE
"Cell2865","Tcell","Tcell","ascites",FALSE
"Cell2866","malignant","malignant_ascites","ascites",TRUE
"Cell2867","adipocyte","adipocyte","omental",FALSE
"Cell2868","malignant","malignant_ascites","ascites",TRUE
"Cell2869","fibroblast","fibroblast","omental",FALSE
"Cell2870","malignant","malignant_omental","omental",TRUE
"Cell2871","malignant","malignant_ascites","ascites",TRUE
"Cell2872","malignant","malignant_omental","omental",TRUE
"Cell2873","fibroblast","fibroblast","ascites",FALSE
"Cell2874","malignant","malignant_omental","omental",TRUE
"Cell2875","fibroblast","fibroblast","omental",FALSE
"Cell2876","malignant","malignant_omental","omental",TRUE
"Cell2877","malignant","malignant_omental","omental",TRUE
"Cell2878","malignant","malignant_ascites","ascites",TRUE
"Cell2879","Tcell","Tcell","omental",FALSE
"Cell2880","malignant","malignant_omental","omental",TRUE
"Cell2881","malignant","malignant_omental","omental",TRUE
"Cell2882","Tcell","Tcell","ascites",FALSE
"Cell2883","malignant","malignant_ascites","ascites",TRUE
"Cell2884","fibroblast","fibroblast","omental",FALSE
"Cell2885","malignant","malignant_omental","omental",TRUE
"Cell2886","malignant","malignant_omental","omental",TRUE
"Cell2887","malignant","malignant_ascites","ascites",TRUE
"Cell2888","endothelial","endothelial","omental",FALSE
"Cell2889","Tcell","Tcell","ascites",FALSE
"Cell2890","adipocyte","adipocyte","omental",FALSE
"Cell2891","fibroblast","fibroblast","omental",FALSE
"Cell2892","malignant","malignant_ascites","ascites",TRUE
"Cell2893","malignant","malignant_omental","omental",TRUE
"Cell2894","malignant","malignant_omental","omental",TRUE
"Cell2895","adipocyte","adipocyte","omental",FALSE
"Cell2896","malignant","malignant_ascites","ascites",TRUE
"Cell2897","malignant","malignant_ascites","ascites",TRUE
"Cell2898","malignant","malignant_ascites","ascites",TRUE
"Cell2899","malignant","malignant_omental","omental",TRUE
"Cell2900","malignant","malignant_ascites","ascites",TRUE
"Cell2901","malignant","malignant_omental","omental",TRUE
"Cell2902","adipocyte","adipocyte","omental",FALSE
"Cell2903","malignant","malignant_ascites","ascites",TRUE
"Cell2904","macrophage","macrophage","ascites",FALSE
"Cell2905","fibroblast","fibroblast","omental",FALSE
"Cell2906","malignant","malignant_ascites","ascites",TRUE
"Cell2907","fibroblast","fibroblast","ascites",FALSE
"Cell2908","macrophage","macrophage","omental",FALSE
"Cell2909","malignant","malignant_ascites","ascites",TRUE
"Cell2910","malignant","malignant_ascites","ascites",TRUE
"Cell2911","Tcell","Tcell","omental",FALSE
"Cell2912","fibroblast","fibroblast","omental",FALSE
"Cell2913","malignant","malignant_ascites","ascites",TRUE
"Cell2914","macrophage","macrophage","omental",FALSE
"Cell2915","adipocyte","adipocyte","omental",FALSE
"Cell2916","macrophage","macrophage","omental",FALSE
"Cell2917","fibroblast","fibroblast","ascites",FALSE
"Cell2918","fibroblast","fibroblast","omental",FALSE
"Cell2919","Tcell","Tcell","ascites",FALSE
"Cell2920","adipocyte","adipocyte","omental",FALSE
"Cell2921","endothelial","endothelial","omental",FALSE
"Cell2922","malignant","malignant_ascites","ascites",TRUE
"Cell2923","fibroblast","fibroblast","omental",FALSE
"Cell2924","malignant","malignant_ascites","ascites",TRUE
"Cell2925","macrophage","macrophage","omental",FALSE
"Cell2926","fibroblast","fibroblast","ascites",FALSE
"Cell2927","Tcell","Tcell","ascites",FALSE
"Cell2928","Tcell","Tcell","ascites",FALSE
"Cell2929","malignant","malignant_ascites","ascites",TRUE
"Cell2930","macrophage","macrophage","omental",FALSE
"Cell2931","malignant","malignant_ascites","ascites",TRUE
"Cell2932","macrophage","macrophage","ascites",FALSE
"Cell2933","Tcell","Tcell","ascites",FALSE
"Cell2934","malignant","malignant_ascites","ascites",TRUE
"Cell2935","fibroblast","fibroblast","omental",FALSE
"Cell2936","fibroblast","fibroblast","omental",FALSE
"Cell2937","malignant","malignant_ascites","ascites",TRUE
"Cell2938","malignant","malignant_ascites","ascites",TRUE
"Cell2939","Tcell","Tcell","omental",FALSE
"Cell2940","Tcell","Tcell","ascites",FALSE
"Cell2941","endothelial","endothelial","omental",FALSE
"Cell2942","endothelial","endothelial","omental",FALSE
"Cell2943","malignant","malignant_omental","omental",TRUE
"Cell2944","fibroblast","fibroblast","ascites",FALSE
"Cell2945","malignant","malignant_ascites","ascites",TRUE
"Cell2946","Tcell","Tcell","ascites",FALSE
"Cell2947","malignant","malignant_ascites","ascites",TRUE
"Cell2948","macrophage","macrophage","omental",FALSE
"Cell2949","malignant","malignant_ascites","ascites",TRUE
"Cell2950","malignant","malignant_omental","omental",TRUE
"Cell2951","malignant","malignant_ascites","ascites",TRUE
"Cell2952","malignant","malignant_ascites","ascites",TRUE
"Cell2953","fibroblast","fibroblast","ascites",FALSE
"Cell2954","macrophage","macrophage","ascites",FALSE
"Cell2955","malignant","malignant_ascites","ascites",TRUE
"Cell2956","malignant","malignant_ascites","ascites",TRUE
"Cell2957","malignant","malignant_omental","omental",TRUE
"Cell2958","malignant","malignant_omental","omental",TRUE
"Cell2959","malignant","malignant_ascites","ascites",TRUE
"Cell2960","adipocyte","adipocyte","omental",FALSE
"Cell2961","macrophage","macrophage","omental",FALSE
"Cell2962","malignant","malignant_ascites","ascites",TRUE
"Cell2963","Tcell","Tcell","omental",FALSE
"Cell2964","malignant","malignant_ascites","ascites",TRUE
"Cell2965","malignant","malignant_ascites","ascites",TRUE
"Cell2966","adipocyte","adipocyte","omental",FALSE
"Cell2967","fibroblast","fibroblast","ascites",FALSE
"Cell2968","fibroblast","fibroblast","ascites",FALSE
"Cell2969","malignant","malignant_omental","omental",TRUE
"Cell2970","Tcell","Tcell","ascites",FALSE
"Cell2971","adipocyte","adipocyte","omental",FALSE
"Cell2972","fibroblast","fibroblast","omental",FALSE
"Cell2973","fibroblast","fibroblast","ascites",FALSE
"Cell2974","fibroblast","fibroblast","omental",FALSE
"Cell2975","malignant","malignant_omental","omental",TRUE
"Cell2976","macrophage","macrophage","omental",FALSE
"Cell2977","malignant","malignant_ascites","ascites",TRUE
"Cell2978","adipocyte","adipocyte","omental",FALSE
"Cell2979","fibroblast","fibroblast","ascites",FALSE
"Cell2980","Tcell","Tcell","ascites",FALSE
"Cell2981","endothelial","endothelial","omental",FALSE
"Cell2982","malignant","malignant_omental","omental",TRUE
"Cell2983","adipocyte","adipocyte","ascites",FALSE
"Cell2984","malignant","malignant_omental","omental",TRUE
"Cell2985","adipocyte","adipocyte","omental",FALSE
"Cell2986","malignant","malignant_omental","omental",TRUE
"Cell2987","adipocyte","adipocyte","omental",FALSE
"Cell2988","malignant","malignant_ascites","ascites",TRUE
"Cell2989","fibroblast","fibroblast","ascites",FALSE
"Cell2990","fibroblast","fibroblast","ascites",FALSE
"Cell2991","malignant","malignant_omental","omental",TRUE
"Cell2992","adipocyte","adipocyte","omental",FALSE
"Cell2993","fibroblast","fibroblast","ascites",FALSE
"Cell2994","fibroblast","fibroblast","omental",FALSE
"Cell2995","malignant","malignant_ascites","ascites",TRUE
"Cell2996","macrophage","macrophage","omental",FALSE
"Cell2997","malignant","malignant_omental","omental",TRUE
"Cell2998","Tcell","Tcell","ascites",FALSE
"Cell2999","Tcell","Tcell","omental",FALSE
"Cell3000","macrophage","macrophage","omental",FALSE
"Cell3001","fibroblast","fibroblast","omental",FALSE
"Cell3002","malignant","malignant_omental","omental",TRUE
"Cell3003","malignant","malignant_ascites","ascites",TRUE
"Cell3004","malignant","malignant_omental","omental",TRUE
"Cell3005","malignant","malignant_ascites","ascites",TRUE
"Cell3006","malignant","malignant_omental","omental",TRUE
"Cell3007","malignant","malignant_ascites","ascites",TRUE
"Cell3008","malignant","malignant_ascites","ascites",TRUE
"Cell3009","malignant","malignant_omental","omental",TRUE
"Cell3010","malignant","malignant_omental","omental",TRUE
"Cell3011","fibroblast","fibroblast","omental",FALSE
"Cell3012","fibroblast","fibroblast","omental",FALSE
"Cell3013","malignant","malignant_ascites","ascites",TRUE
"Cell3014","adipocyte","adipocyte","omental",FALSE
"Cell3015","macrophage","macrophage","ascites",FALSE
"Cell3016","malignant","malignant_omental","omental",TRUE
"Cell3017","malignant","malignant_ascites","ascites",TRUE
"Cell3018","fibroblast","fibroblast","omental",FALSE
"Cell3019","Tcell","Tcell","omental",FALSE
"Cell3020","malignant","malignant_ascites","ascites",TRUE
"Cell3021","malignant","malignant_omental","omental",TRUE
"Cell3022","macrophage","macrophage","ascites",FALSE
"Cell3023","fibroblast","fibroblast","omental",FALSE
"Cell3024","malignant","malignant_ascites","ascites",TRUE
"Cell3025","fibroblast","fibroblast","omental",FALSE
"Cell3026","fibroblast","fibroblast","omental",FALSE
"Cell3027","malignant","malignant_ascites","ascites",TRUE
"Cell3028","malignant","malignant_omental","omental",TRUE
"Cell3029","malignant","malignant_ascites","ascites",TRUE
"Cell3030","malignant","malignant_ascites","ascites",TRUE
"Cell3031","endothelial","endothelial","omental",FALSE
"Cell3032","malignant","malignant_ascites","ascites",TRUE
"Cell3033","malignant","malignant_ascites","ascites",TRUE
"Cell3034","fibroblast","fibroblast","omental",FALSE
"Cell3035","Tcell","Tcell","ascites",FALSE
"Cell3036","fibroblast","fibroblast","omental",FALSE
"Cell3037","fibroblast","fibroblast","omental",FALSE
"Cell3038","endothelial","endothelial","ascites",FALSE
"Cell3039","malignant","malignant_ascites","ascites",TRUE
"Cell3040","malignant","malignant_omental","omental",TRUE
"Cell3041","malignant","malignant_omental","omental",TRUE
"Cell3042","fibroblast","fibroblast","omental",FALSE
"Cell3043","malignant","malignant_omental","omental",TRUE
"Cell3044","malignant","malignant_ascites","ascites",TRUE
"Cell3045","malignant","malignant_omental","omental",TRUE
"Cell3046","macrophage","macrophage","omental",FALSE
"Cell3047","fibroblast","fibroblast","omental",FALSE
"Cell3048","malignant","malignant_omental","omental",TRUE
"Cell3049","malignant","malignant_ascites","ascites",TRUE
"Cell3050","macrophage","macrophage","ascites",FALSE
"Cell3051","macrophage","macrophage","ascites",FALSE
"Cell3052","adipocyte","adipocyte","omental",FALSE
"Cell3053","malignant","malignant_ascites","ascites",TRUE
"Cell3054","malignant","malignant_ascites","ascites",TRUE
"Cell3055","malignant","malignant_omental","omental",TRUE
"Cell3056","macrophage","macrophage","ascites",FALSE
"Cell3057","Tcell","Tcell","ascites",FALSE
"Cell3058","Tcell","Tcell","ascites",FALSE
"Cell3059","malignant","malignant_ascites","ascites",TRUE
"Cell3060","malignant","malignant_ascites","ascites",TRUE
"Cell3061","malignant","malignant_omental","omental",TRUE
"Cell3062","adipocyte","adipocyte","omental",FALSE
"Cell3063","adipocyte","adipocyte","omental",FALSE
"Cell3064","malignant","malignant_ascites","ascites",TRUE
"Cell3065","endothelial","endothelial","omental",FALSE
"Cell3066","malignant","malignant_omental","omental",TRUE
"Cell3067","macrophage","macrophage","ascites",FALSE
"Cell3068","Tcell","Tcell","ascites",FALSE
"Cell3069","malignant","malignant_ascites","ascites",TRUE
"Cell3070","macrophage","macrophage","omental",FALSE
"Cell3071","fibroblast","fibroblast","ascites",FALSE
"Cell3072","malignant","malignant_ascites","ascites",TRUE
"Cell3073","malignant","malignant_omental","omental",TRUE
"Cell3074","malignant","malignant_ascites","ascites",TRUE
"Cell3075","malignant","malignant_omental","omental",TRUE
"Cell3076","Tcell","Tcell","ascites",FALSE
"Cell3077","macrophage","macrophage","ascites",FALSE
"Cell3078","malignant","malignant_ascites","ascites",TRUE
"Cell3079","fibroblast","fibroblast","ascites",FALSE
"Cell3080","macrophage","macrophage","omental",FALSE
"Cell3081","endothelial","endothelial","omental",FALSE
"Cell3082","fibroblast","fibroblast","omental",FALSE
"Cell3083","endothelial","endothelial","omental",FALSE
"Cell3084","macrophage","macrophage","ascites",FALSE
"Cell3085","malignant","malignant_omental","omental",TRUE
"Cell3086","malignant","malignant_omental","omental",TRUE
"Cell3087","endothelial","endothelial","omental",FALSE
"Cell3088","adipocyte","adipocyte","omental",FALSE
"Cell3089","endothelial","endothelial","ascites",FALSE
"Cell3090","macrophage","macrophage","ascites",FALSE
"Cell3091","Tcell","Tcell","ascites",FALSE
"Cell3092","endothelial","endothelial","omental",FALSE
"Cell3093","macrophage","macrophage","ascites",FALSE
"Cell3094","malignant","malignant_omental","omental",TRUE
"Cell3095","malignant","malignant_omental","omental",TRUE
"Cell3096","malignant","malignant_ascites","ascites",TRUE
"Cell3097","fibroblast","fibroblast","omental",FALSE
"Cell3098","macrophage","macrophage","omental",FALSE
"Cell3099","malignant","malignant_omental","omental",TRUE
"Cell3100","Tcell","Tcell","ascites",FALSE
"Cell3101","malignant","malignant_ascites","ascites",TRUE
"Cell3102","Tcell","Tcell","ascites",FALSE
"Cell3103","macrophage","macrophage","omental",FALSE
"Cell3104","malignant","malignant_omental","omental",TRUE
"Cell3105","macrophage","macrophage","ascites",FALSE
"Cell3106","malignant","malignant_ascites","ascites",TRUE
"Cell3107","macrophage","macrophage","omental",FALSE
"Cell3108","fibroblast","fibroblast","ascites",FALSE
"Cell3109","malignant","malignant_omental","omental",TRUE
"Cell3110","malignant","malignant_ascites","ascites",TRUE
"Cell3111","malignant","malignant_ascites","ascites",TRUE
"Cell3112","malignant","malignant_omental","omental",TRUE
"Cell3113","fibroblast","fibroblast","omental",FALSE
"Cell3114","fibroblast","fibroblast","omental",FALSE
"Cell3115","adipocyte","adipocyte","omental",FALSE
"Cell3116","malignant","malignant_omental","omental",TRUE
"Cell3117","endothelial","endothelial","omental",FALSE
"Cell3118","endothelial","endothelial","omental",FALSE
"Cell3119","Tcell","Tcell","ascites",FALSE
"Cell3120","macrophage","macrophage","ascites",FALSE
"Cell3121","fibroblast","fibroblast","omental",FALSE
"Cell3122","malignant","malignant_omental","omental",TRUE
"Cell3123","adipocyte","adipocyte","omental",FALSE
"Cell3124","endothelial","endothelial","ascites",FALSE
"Cell3125","malignant","malignant_ascites","ascites",TRUE
"Cell3126","malignant","malignant_omental","omental",TRUE
"Cell3127","malignant","malignant_omental","omental",TRUE
"Cell3128","fibroblast","fibroblast","omental",FALSE
"Cell3129","malignant","malignant_omental","omental",TRUE
"Cell3130","macrophage","macrophage","omental",FALSE
"Cell3131","fibroblast","fibroblast","omental",FALSE
"Cell3132","macrophage","macrophage","ascites",FALSE
"Cell3133","Tcell","Tcell","ascites",FALSE
"Cell3134","malignant","malignant_omental","omental",TRUE
"Cell3135","malignant","malignant_ascites","ascites",TRUE
"Cell3136","malignant","malignant_ascites","ascites",TRUE
"Cell3137","malignant","malignant_omental","omental",TRUE
"Cell3138","macrophage","macrophage","omental",FALSE
"Cell3139","malignant","malignant_omental","omental",TRUE
"Cell3140","macrophage","macrophage","omental",FALSE
"Cell3141","malignant","malignant_ascites","ascites",TRUE
"Cell3142","Tcell","Tcell","omental",FALSE
"Cell3143","malignant","malignant_omental","omental",TRUE
"Cell3144","malignant","malignant_omental","omental",TRUE
"Cell3145","malignant","malignant_omental","omental",TRUE
"Cell3146","malignant","malignant_ascites","ascites",TRUE
"Cell3147","malignant","malignant_omental","omental",TRUE
"Cell3148","malignant","malignant_omental","omental",TRUE
"Cell3149","macrophage","macrophage","omental",FALSE
"Cell3150","malignant","malignant_ascites","ascites",TRUE
"Cell3151","malignant","malignant_ascites","ascites",TRUE
"Cell3152","adipocyte","adipocyte","omental",FALSE
"Cell3153","malignant","malignant_omental","omental",TRUE
"Cell3154","Tcell","Tcell","ascites",FALSE
"Cell3155","fibroblast","fibroblast","ascites",FALSE
"Cell3156","malignant","malignant_ascites","ascites",TRUE
"Cell3157","fibroblast","fibroblast","omental",FALSE
"Cell3158","macrophage","macrophage","omental",FALSE
"Cell3159","macrophage","macrophage","ascites",FALSE
"Cell3160","fibroblast","fibroblast","ascites",FALSE
"Cell3161","malignant","malignant_ascites","ascites",TRUE
